major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,hours_sleep,minutes_screen,professor_age,expected_grade,calculus_grade,zodiac
data science ,STAT 203 - 002,Sophomore,Blackhawks,Outside of the US,Arts,one hour,5,6,Instagram,Black,FALSE,100+,Hot Dog,5,500,30,A,A,Taurus
Political Science and Spanish ,STAT 203 - 002,Junior,Bears,US Midwest (other than IL),None of the above,0,4,5,Instagram,Red,TRUE,500,Taco,6,300,37,A,A,Taurus
Applied Math,STAT 203 - 002,Junior,Bears,Illinois,Arts,20,5,8,TikTok,Red,FALSE,150,Grilled Cheese,9,540,30,A,B,Scorpio
Math,STAT 203 - 001,Junior,Cubs,US Northeast,Math,45,5,9,Instagram,Purple,FALSE,200,Taco,8.5,2.5,36,A,B,Aquarius
Mathematics & Computer Science,STAT 203 - 002,Junior,Bears,Outside of the US,Math,10,5,7,X.com (Twitter),Green,FALSE,7,Hot Dog,7.28,11.2,48,B,A,Libra
Secondary Education - Math,STAT 203 - 002,Junior,White Sox,Illinois,Math,15,6,2,YouTube,Green,FALSE,120,Grilled Cheese,6,360,30,B,B,Gemini
Data Science,STAT 203 - 002,Sophomore,None of the above,Illinois,Math,One hour a day,6,0,Instagram,Green,FALSE,300,Hot Dog,7,300,37,A,B,Virgo
biochemistry,STAT 203 - 002,Sophomore,None of the above,Illinois,Science,45,5,11,TikTok,Purple,FALSE,65,Taco,7,200,43,A,A,Capricorn
Neuroscience,DSCI 101 - 002,Junior,Blackhawks,Illinois,Science,60,5,4,TikTok,Green,FALSE,150,Hot Dog,8,3,30,A,A,Aries
Computer Science,STAT 203 - 001,Senior,None of the above,US Northeast,English,60,6,3,X.com (Twitter),Black,FALSE,100+,Hot Dog,7,4,23,A,C,Aquarius
Mathematics,STAT 203 - 002,Junior,Cubs,Illinois,Math,30,5,3,YouTube,Orange,TRUE,40,Grilled Cheese,7,360,30,A,A,Pisces
Computer Science,STAT 203 - 001,Sophomore,Bears,Illinois,Math,90 Minutes,6,2,YouTube,Blue,FALSE,400,Taco,5,7,30,A,A,Capricorn
Psychology ,DSCI 101 - 002,Junior,Bears,Illinois,Math,On average roughly 75 minutes ,5,9,YouTube,Blue,FALSE,5,Taco,7,387,32,A,N/A,Libra
Biochemistry,STAT 203 - 001,Junior,None of the above,Illinois,Science,45,5,9,Instagram,Blue,FALSE,60,Taco,7,240,35,A,A,Scorpio
Computer Science,STAT 203 - 002,Junior,Bears,US Northeast,None of the above,90,5,9,TikTok,Purple,FALSE,50,Hot Dog,7,300,30,B,B,Taurus
Biochemistry,STAT 203 - 002,Sophomore,Cubs,US West,English,30,5,2,Instagram,Blue,FALSE,200,Hot Dog,7.5,5,32,A,A,Sagittarius
Computer Science,STAT 203 - 002,Senior,None of the above,Outside of the US,Math,60min,5,5,Instagram,Green,FALSE,12,Grilled Cheese,8,60,27,A,C,Gemini
