Student,major,course_section,grad_class,sport,born,subject,exercise,height_feet,height_inches,social_media,color,cereal,books,fight,professor_age,grade,zodiac
74,Nursing ,STAT 103 - 003,Freshman,None of the above,Illinois,Science,60,5,9,TikTok,Blue,Yes,37,Grilled Cheese,32,B,Aquarius
75,Double major in Computer Engineering and Finance,STAT 203 - 002,Sophomore,Cubs,Illinois,Math,40,5,4,Snapchat,Green,No,100,Grilled Cheese,36,A,Cancer
76,Biochemistry,STAT 203 - 002,Sophomore,Cubs,Illinois,Math,60,5,3,TikTok,Purple,No,hundreds,Taco,38,B,Gemini
77,Computer Science,STAT 203 - 002,Sophomore,Bears,US Northeast,Math,10,5,5,None of the above,Green,Yes,100,Taco,30,A,Leo
78,Biochemistry ,STAT 203 - 002,Sophomore,Cubs,US Midwest (other than IL),Arts,30,5,5,Instagram,Green,No,150,Hot Dog,30,B,Aries
79,Nursing,STAT 103 - 001,Freshman,Blackhawks,US South,Social studies,20,5,2,TikTok,Pink,No,2,Hot Dog,35,B,Virgo
80,Data Science,DSCI 101 - 002,Freshman,None of the above,Illinois,Math,60,5,3,TikTok,Green,No,60,Grilled Cheese,39,A,Aries
81,Psychology,STAT 103 - 003,Freshman,Bears,Illinois,Math,180,5,11,Snapchat,Purple,Yes,100,Grilled Cheese,34,A,Sagittarius
82,Psychology,STAT 103 - 003,Freshman,None of the above,US Midwest (other than IL),English,45,5,0,TikTok,Green,Yes,56,Taco,32,B,Cancer
83,Undecided,STAT 103 - 003,Sophomore,None of the above,Illinois,Social studies,30,5,8,TikTok,Purple,No,100,Taco,35,B,Sagittarius
84,chemistry,STAT 203 - 002,Sophomore,Cubs,Illinois,Science,15,6,3,TikTok,Blue,No,30-40,Grilled Cheese,32,A,Cancer
85,Political Science,STAT 103 - 003,Freshman,None of the above,US Northeast,Social studies,30,5,8,TikTok,Red,No,35,Hot Dog,38,B,Libra
86,BBA,STAT 103 - 003,Freshman,None of the above,Illinois,English,30,5,7,Snapchat,Blue,No,20,Taco,35,B,Cancer
87,Applied Mathematics,STAT 203 - 002,Sophomore,Blackhawks,US Midwest (other than IL),English,30,5,3,TikTok,Blue,No,200,Hot Dog,30,B,Pisces
88,Cognitive Behavorial Neuroscience ,DSCI 101 - 002,Senior,None of the above,Illinois,Science,30,5,3,TikTok,Purple,No,500+,Grilled Cheese,42,A,Cancer
89,Mathematics,STAT 203 - 002,Junior,None of the above,Illinois,None of the above,30,6,0,Instagram,Black,No,"A lot, given my mom ran a daycare. ",Grilled Cheese,37,B,Pisces
90,Psychology,STAT 103 - 001,Freshman,None of the above,Illinois,Arts,0,5,1,Instagram,Green,No,20,Taco,29,A,Pisces
91,Not decided,STAT 103 - 003,Freshman,None of the above,Outside of the US,Arts,30,5,4,None of the above,Pink,No,500,Hot Dog,32,A,Scorpio
92,Cognitive & Behavioral Neuroscience ,DSCI 101 - 002,Junior,None of the above,Illinois,English,30,5,0,TikTok,Green,No,200,Taco,30,A,Virgo
93,Computer Science,STAT 203 - 002,Senior,None of the above,Illinois,Math,60,5,10,TikTok,Blue,No,50,Taco,29,A,Aries
94,Nursing,STAT 103 - 003,Freshman,White Sox,Outside of the US,Arts,30,5,0,Instagram,Purple,Yes,5,Hot Dog,30,A,Leo
95,Accounting,STAT 103 - 003,Freshman,Chicago Fire,Outside of the US,Math,35,5,11,Instagram,Blue,No,dozens,Taco,26,A,Virgo
96,Computer Science,STAT 203 - 002,Senior,Bears,Outside of the US,Math,60,5,5,Instagram,Green,No,10-Jul,Grilled Cheese,32,A,Leo
97,Biology ,STAT 203 - 002,Junior,None of the above,Outside of the US,None of the above,20,5,5,Instagram,Black,No,100,Hot Dog,35,B,Taurus
