date,total,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80,female,male
6/29/2023,40,5,8,8,8,4,2,2,3,26,14
10/22/2022,232,25,35,49,28,34,29,19,13,137,95
10/21/2021,337,84,69,71,40,39,19,14,1,184,153
5/28/2020,521,41,110,90,98,69,60,27,26,262,255
6/20/2022,851,72,174,163,165,106,87,54,30,497,354
3/3/2021,336,46,90,72,56,29,25,14,4,160,176
12/5/2020,1203,165,270,216,170,185,118,51,28,610,592
8/1/2021,215,26,54,51,28,25,22,7,2,108,106
1/10/2023,506,129,67,67,51,43,68,44,37,285,220
1/26/2023,388,121,63,57,39,36,32,21,19,217,170
6/14/2020,92,6,22,18,20,14,6,2,4,44,48
8/6/2020,349,38,113,73,52,31,22,11,9,180,169
5/23/2020,328,31,63,58,54,54,35,19,14,177,150
3/26/2022,197,28,50,46,31,21,11,6,4,100,96
4/15/2023,96,16,11,12,10,12,10,13,12,56,40
11/1/2022,569,103,90,100,70,76,59,44,27,333,235
6/10/2021,39,7,6,8,6,2,7,1,2,17,22
8/2/2022,962,116,195,204,138,111,97,71,30,544,416
9/17/2022,247,44,46,34,34,25,26,19,19,135,111
2/20/2021,213,35,57,30,29,33,13,8,8,106,107
3/9/2022,170,52,28,34,18,19,12,6,1,92,75
4/10/2023,253,60,29,33,29,32,31,22,17,147,106
6/2/2021,100,19,27,15,6,19,8,5,1,59,41
10/18/2021,353,95,64,60,57,41,23,7,6,184,168
11/22/2022,488,51,72,100,50,67,62,64,22,285,203
5/18/2020,943,67,235,151,190,148,83,46,23,495,440
8/18/2020,411,50,130,79,59,46,22,21,4,211,199
2/1/2021,608,79,150,114,95,88,44,22,16,318,290
1/13/2023,345,70,49,52,37,46,42,30,19,196,148
4/6/2022,599,114,159,140,75,58,23,24,6,336,261
3/31/2023,229,68,29,43,21,19,27,10,12,129,100
2/9/2023,388,98,60,59,42,50,32,25,22,211,175
12/20/2020,581,62,139,116,94,70,48,31,21,304,276
11/2/2020,2323,271,555,507,372,311,186,75,46,1188,1127
3/20/2020,155,2,23,22,32,30,27,15,4,72,83
5/16/2023,103,25,12,12,17,14,4,11,8,62,41
5/26/2020,749,61,158,127,137,128,76,40,22,392,353
5/17/2022,1375,360,255,280,148,146,91,64,30,806,568
5/27/2020,614,70,124,101,116,83,66,32,22,317,289
4/5/2022,531,122,138,120,70,43,23,13,2,286,245
1/30/2023,423,115,64,58,51,55,42,22,16,265,158
7/26/2022,971,133,167,199,138,134,106,54,40,541,430
6/9/2020,254,19,50,33,46,44,38,14,10,115,136
7/29/2021,323,49,89,90,48,28,12,7,0,174,148
